[ 2025-03-09 23:26:47,263 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-09 23:26:51,844 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-09 23:26:51,844 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-09 23:26:51,844 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-09 23:26:51,963 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-09 23:26:51,967 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-09 23:26:51,983 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-09 23:26:52,086 ] 32 root - INFO - Required number of columns:2
[ 2025-03-09 23:26:52,087 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-09 23:26:52,087 ] 32 root - INFO - Required number of columns:2
[ 2025-03-09 23:26:52,087 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-09 23:26:52,506 ] 28 root - INFO - data Validation Completed
[ 2025-03-09 23:26:52,507 ] 31 root - INFO - data Transformation started
[ 2025-03-09 23:26:52,507 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-09 23:26:52,507 ] 65 root - INFO - Starting data transformation
[ 2025-03-09 23:26:52,553 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-03-09 23:26:52,553 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-09 23:26:52,578 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-09 23:26:52,587 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-09 23:26:52,587 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-09 23:26:52,595 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-09 23:26:52,596 ] 35 root - INFO - data Transformation completed
[ 2025-03-09 23:26:52,596 ] 37 root - INFO - Model Training started
