[ 2025-03-09 11:21:23,697 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-09 11:21:28,672 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-09 11:21:28,672 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-09 11:21:28,672 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-09 11:21:28,781 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-09 11:21:28,781 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-09 11:21:28,819 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-09 11:21:28,914 ] 32 root - INFO - Required number of columns:2
[ 2025-03-09 11:21:28,919 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-09 11:21:28,919 ] 32 root - INFO - Required number of columns:2
[ 2025-03-09 11:21:28,919 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-09 11:21:29,173 ] 28 root - INFO - data Validation Completed
[ 2025-03-09 11:21:29,173 ] 31 root - INFO - data Transformation started
[ 2025-03-09 11:21:29,174 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-09 11:21:29,174 ] 65 root - INFO - Starting data transformation
[ 2025-03-09 11:21:29,214 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-03-09 11:21:29,214 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-09 11:21:29,248 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-09 11:21:29,254 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-09 11:21:29,255 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-09 11:21:29,260 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-09 11:21:29,261 ] 35 root - INFO - data Transformation completed
[ 2025-03-09 11:21:29,261 ] 37 root - INFO - Model Training sstared
