[ 2025-03-10 00:59:56,225 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-10 01:00:01,393 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-10 01:00:01,394 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-10 01:00:01,394 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-10 01:00:01,492 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-10 01:00:01,492 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-10 01:00:01,515 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-10 01:00:01,611 ] 32 root - INFO - Required number of columns:2
[ 2025-03-10 01:00:01,611 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-10 01:00:01,611 ] 32 root - INFO - Required number of columns:2
[ 2025-03-10 01:00:01,611 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-10 01:00:01,910 ] 28 root - INFO - data Validation Completed
[ 2025-03-10 01:00:01,910 ] 31 root - INFO - data Transformation started
[ 2025-03-10 01:00:01,910 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-10 01:00:01,910 ] 65 root - INFO - Starting data transformation
[ 2025-03-10 01:00:01,953 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-03-10 01:00:01,953 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-10 01:00:01,985 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 01:00:01,991 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 01:00:01,991 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 01:00:01,998 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 01:00:01,998 ] 35 root - INFO - data Transformation completed
[ 2025-03-10 01:00:01,998 ] 37 root - INFO - Model Training started
