[ 2025-03-09 23:35:19,204 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-09 23:35:23,573 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-09 23:35:23,573 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-09 23:35:23,575 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-09 23:35:23,676 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-09 23:35:23,681 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-09 23:35:23,698 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-09 23:35:23,776 ] 32 root - INFO - Required number of columns:2
[ 2025-03-09 23:35:23,779 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-09 23:35:23,779 ] 32 root - INFO - Required number of columns:2
[ 2025-03-09 23:35:23,779 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-09 23:35:24,020 ] 28 root - INFO - data Validation Completed
[ 2025-03-09 23:35:24,020 ] 31 root - INFO - data Transformation started
[ 2025-03-09 23:35:24,020 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-09 23:35:24,020 ] 65 root - INFO - Starting data transformation
[ 2025-03-09 23:35:24,062 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-03-09 23:35:24,062 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-09 23:35:24,093 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-09 23:35:24,100 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-09 23:35:24,100 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-09 23:35:24,105 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-09 23:35:24,108 ] 35 root - INFO - data Transformation completed
[ 2025-03-09 23:35:24,108 ] 37 root - INFO - Model Training started
[ 2025-03-09 23:39:32,695 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-09 23:39:32,699 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-09 23:39:32,699 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-09 23:39:32,774 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-09 23:39:32,776 ] 154 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_09_2025_23_35_12\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913871719525787, precision_score=0.9900829791540174, recall_score=0.9926948051948052), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.971266693646297, precision_score=0.966183574879227, recall_score=0.9764035801464606))
[ 2025-03-09 23:39:32,777 ] 42 root - INFO - Model Training artifact created
